../../Project_WorkCell/Scene.wc.xml
CylinderRed
x y #collisionFreeSolutions
0.325 -0.07 3509
-0.325 -0.035 1725
-0.2925 -0.035 1912
-0.26 -0.035 2102
-0.2275 -0.035 2321
-0.195 -0.035 2599
-0.1625 -0.035 2820
-0.13 -0.035 2971
-0.0975 -0.035 3101
-0.065 -0.035 3215
-0.0325 -0.035 3318
0 -0.035 3391
0.0325 -0.035 3458
0.065 -0.035 3503
0.0975 -0.035 3544
0.13 -0.035 3580
0.1625 -0.035 3591
0.195 -0.035 3628
0.2275 -0.035 3635
0.26 -0.035 3646
0.2925 -0.035 3628
0.325 -0.035 3608
-0.325 -1.80411e-16 1848
-0.2925 -1.80411e-16 2044
-0.26 -1.80411e-16 2265
-0.2275 -1.80411e-16 2542
-0.195 -1.80411e-16 2774
-0.1625 -1.80411e-16 2955
-0.13 -1.80411e-16 3092
-0.0975 -1.80411e-16 3213
-0.065 -1.80411e-16 3317
-0.0325 -1.80411e-16 3406
0 -1.80411e-16 3468
0.0325 -1.80411e-16 3529
0.065 -1.80411e-16 3577
0.0975 -1.80411e-16 3597
0.13 -1.80411e-16 3630
0.1625 -1.80411e-16 3644
0.195 -1.80411e-16 3668
0.2275 -1.80411e-16 3679
0.26 -1.80411e-16 3683
0.2925 -1.80411e-16 3663
0.325 -1.80411e-16 3656
-0.325 0.035 1885
-0.2925 0.035 2096
-0.26 0.035 2357
-0.2275 0.035 2549
-0.195 0.035 2745
-0.1625 0.035 2947
-0.13 0.035 3101
-0.0975 0.035 3218
-0.065 0.035 3315
-0.0325 0.035 3396
0 0.035 3459
0.0325 0.035 3505
0.065 0.035 3554
0.0975 0.035 3596
0.13 0.035 3625
0.1625 0.035 3648
0.195 0.035 3665
0.2275 0.035 3676
0.26 0.035 3676
0.2925 0.035 3665
0.325 0.035 3658
-0.325 0.07 1276
-0.2925 0.07 1505
-0.26 0.07 1714
-0.2275 0.07 1922
-0.195 0.07 2157
-0.1625 0.07 2351
-0.13 0.07 2523
-0.0975 0.07 2674
-0.065 0.07 2869
-0.0325 0.07 3011
0 0.07 3135
