../../../Project_WorkCell/Scene_rap_blue.wc.xml
CylinderBlue
x y #collisionFreeSolutions
0.065 -0.07 2776
0.0975 -0.07 2859
0.13 -0.07 2924
0.1625 -0.07 3002
0.195 -0.07 3059
0.2275 -0.07 3115
0.26 -0.07 3161
0.2925 -0.07 3206
0.325 -0.07 3231
-0.325 -0.035 1154
-0.2925 -0.035 1588
-0.26 -0.035 1879
-0.2275 -0.035 2111
-0.195 -0.035 2320
-0.1625 -0.035 2515
-0.13 -0.035 2431
-0.0975 -0.035 2204
-0.065 -0.035 2289
-0.0325 -0.035 2472
0 -0.035 2572
0.0325 -0.035 2646
0.065 -0.035 2725
0.0975 -0.035 2789
0.13 -0.035 2860
0.1625 -0.035 2913
0.195 -0.035 2991
0.2275 -0.035 3053
0.26 -0.035 3117
0.2925 -0.035 3164
0.325 -0.035 3190
-0.325 -1.80411e-16 927
-0.2925 -1.80411e-16 1214
-0.26 -1.80411e-16 1668
-0.2275 -1.80411e-16 1960
-0.195 -1.80411e-16 2151
-0.1625 -1.80411e-16 2360
-0.13 -1.80411e-16 2572
-0.0975 -1.80411e-16 2593
-0.065 -1.80411e-16 2340
-0.0325 -1.80411e-16 2351
0 -1.80411e-16 2491
0.0325 -1.80411e-16 2570
0.065 -1.80411e-16 2649
0.0975 -1.80411e-16 2724
0.13 -1.80411e-16 2805
0.1625 -1.80411e-16 2877
0.195 -1.80411e-16 2935
0.2275 -1.80411e-16 2983
0.26 -1.80411e-16 3047
0.2925 -1.80411e-16 3097
0.325 -1.80411e-16 3127
-0.325 0.035 792
-0.2925 0.035 1023
-0.26 0.035 1276
-0.2275 0.035 1710
-0.195 0.035 1999
-0.1625 0.035 2201
-0.13 0.035 2377
-0.0975 0.035 2583
-0.065 0.035 2694
-0.0325 0.035 2554
0 0.035 2480
0.0325 0.035 2469
0.065 0.035 2585
0.0975 0.035 2617
0.13 0.035 2686
0.1625 0.035 2773
0.195 0.035 2846
0.2275 0.035 2901
0.26 0.035 2964
0.2925 0.035 3005
0.325 0.035 3037
-0.325 0.07 640
-0.2925 0.07 851
-0.26 0.07 1070
-0.2275 0.07 1322
-0.195 0.07 1711
-0.1625 0.07 1986
-0.13 0.07 2217
-0.0975 0.07 2398
-0.065 0.07 2510
-0.0325 0.07 2725
0 0.07 2796
0.0325 0.07 2738
0.065 0.07 2646
0.0975 0.07 2636
0.13 0.07 2618
0.1625 0.07 2704
0.195 0.07 2726
0.2275 0.07 2774
0.26 0.07 2821
0.2925 0.07 2874
0.325 0.07 2939
-0.325 0.105 499
-0.2925 0.105 668
-0.26 0.105 856
-0.2275 0.105 1038
-0.195 0.105 1311
-0.1625 0.105 1700
-0.13 0.105 1977
-0.0975 0.105 2182
-0.065 0.105 2382
-0.0325 0.105 2548
0 0.105 2651
0.0325 0.105 2772
0.065 0.105 2893
0.0975 0.105 2984
0.13 0.105 3008
0.1625 0.105 2997
0.195 0.105 2967
0.2275 0.105 2928
0.26 0.105 2897
0.2925 0.105 2879
0.325 0.105 2962
-0.325 0.14 202
-0.2925 0.14 314
-0.26 0.14 439
-0.2275 0.14 573
-0.195 0.14 768
-0.1625 0.14 1058
-0.13 0.14 1475
-0.0975 0.14 1748
-0.065 0.14 2036
-0.0325 0.14 2282
0 0.14 2468
0.0325 0.14 2651
0.065 0.14 2778
0.0975 0.14 2911
0.13 0.14 3018
0.1625 0.14 3122
0.195 0.14 3218
0.2275 0.14 3335
0.26 0.14 3423
0.2925 0.14 3490
0.325 0.14 3530
-0.325 0.175 154
-0.2925 0.175 205
-0.26 0.175 270
-0.2275 0.175 338
