../../../Project_WorkCell/Scene_rap_green.wc.xml
CylinderGreen
x y #collisionFreeSolutions
-0.065 -0.035 722
-0.0325 -0.035 800
0 -0.035 880
0.0325 -0.035 961
0.065 -0.035 1040
0.0975 -0.035 1143
0.13 -0.035 1245
0.1625 -0.035 1353
0.195 -0.035 1469
0.2275 -0.035 1564
0.26 -0.035 1623
0.2925 -0.035 1676
0.325 -0.035 1729
-0.325 -1.80411e-16 118
-0.2925 -1.80411e-16 155
-0.26 -1.80411e-16 228
-0.2275 -1.80411e-16 304
-0.195 -1.80411e-16 403
-0.1625 -1.80411e-16 507
-0.13 -1.80411e-16 636
-0.0975 -1.80411e-16 709
-0.065 -1.80411e-16 712
-0.0325 -1.80411e-16 808
0 -1.80411e-16 892
0.0325 -1.80411e-16 983
0.065 -1.80411e-16 1083
0.0975 -1.80411e-16 1183
0.13 -1.80411e-16 1283
0.1625 -1.80411e-16 1384
0.195 -1.80411e-16 1486
0.2275 -1.80411e-16 1575
0.26 -1.80411e-16 1627
0.2925 -1.80411e-16 1664
0.325 -1.80411e-16 1710
-0.325 0.035 104
-0.2925 0.035 143
-0.26 0.035 200
-0.2275 0.035 281
-0.195 0.035 362
-0.1625 0.035 462
-0.13 0.035 561
-0.0975 0.035 704
-0.065 0.035 857
-0.0325 0.035 865
0 0.035 877
0.0325 0.035 974
0.065 0.035 1086
0.0975 0.035 1176
0.13 0.035 1271
0.1625 0.035 1392
0.195 0.035 1462
0.2275 0.035 1553
0.26 0.035 1592
0.2925 0.035 1626
0.325 0.035 1654
-0.325 0.07 105
-0.2925 0.07 133
-0.26 0.07 170
-0.2275 0.07 237
-0.195 0.07 321
-0.1625 0.07 401
-0.13 0.07 504
-0.0975 0.07 621
-0.065 0.07 738
-0.0325 0.07 914
0 0.07 1038
0.0325 0.07 1065
0.065 0.07 1057
0.0975 0.07 1119
0.13 0.07 1209
0.1625 0.07 1325
0.195 0.07 1400
0.2275 0.07 1477
0.26 0.07 1520
0.2925 0.07 1541
0.325 0.07 1565
-0.325 0.105 94
-0.2925 0.105 122
-0.26 0.105 153
-0.2275 0.105 197
-0.195 0.105 273
-0.1625 0.105 342
-0.13 0.105 432
-0.0975 0.105 532
-0.065 0.105 655
-0.0325 0.105 795
0 0.105 944
0.0325 0.105 1112
0.065 0.105 1270
0.0975 0.105 1331
0.13 0.105 1378
0.1625 0.105 1340
0.195 0.105 1316
0.2275 0.105 1366
0.26 0.105 1415
0.2925 0.105 1439
0.325 0.105 1461
-0.325 0.14 71
-0.2925 0.14 92
-0.26 0.14 112
-0.2275 0.14 142
-0.195 0.14 175
-0.1625 0.14 242
-0.13 0.14 338
-0.0975 0.14 457
-0.065 0.14 559
-0.0325 0.14 690
0 0.14 810
0.0325 0.14 946
0.065 0.14 1083
0.0975 0.14 1288
0.13 0.14 1419
0.1625 0.14 1518
0.195 0.14 1627
0.2275 0.14 1761
0.26 0.14 1820
0.2925 0.14 1850
0.325 0.14 1844
-0.325 0.175 50
-0.2925 0.175 73
-0.26 0.175 91
-0.2275 0.175 119
-0.195 0.175 143
-0.1625 0.175 173
-0.13 0.175 224
-0.0975 0.175 283
-0.065 0.175 356
-0.0325 0.175 436
0 0.175 523
0.0325 0.175 667
0.065 0.175 834
0.0975 0.175 1055
0.13 0.175 1196
0.1625 0.175 1316
0.195 0.175 1431
0.2275 0.175 1507
0.26 0.175 1571
0.2925 0.175 1629
0.325 0.175 1662
