../../../Project_WorkCell/Scene.wc.xml
CylinderBlue
x y #collisionFreeSolutions
-0.065 -0.035 1900
-0.0325 -0.035 1855
0 -0.035 1814
0.0325 -0.035 1740
0.065 -0.035 1649
0.0975 -0.035 1527
0.13 -0.035 1368
0.1625 -0.035 1191
0.195 -0.035 1057
0.2275 -0.035 933
0.26 -0.035 807
0.2925 -0.035 684
0.325 -0.035 561
-0.325 -1.80411e-16 971
-0.2925 -1.80411e-16 1195
-0.26 -1.80411e-16 1487
-0.2275 -1.80411e-16 1658
-0.195 -1.80411e-16 1827
-0.1625 -1.80411e-16 1879
-0.13 -1.80411e-16 1964
-0.0975 -1.80411e-16 1986
-0.065 -1.80411e-16 1992
-0.0325 -1.80411e-16 1969
0 -1.80411e-16 1921
0.0325 -1.80411e-16 1860
0.065 -1.80411e-16 1788
0.0975 -1.80411e-16 1660
0.13 -1.80411e-16 1512
0.1625 -1.80411e-16 1383
0.195 -1.80411e-16 1226
0.2275 -1.80411e-16 1047
0.26 -1.80411e-16 927
0.2925 -1.80411e-16 801
0.325 -1.80411e-16 693
-0.325 0.035 874
-0.2925 0.035 1148
-0.26 0.035 1424
-0.2275 0.035 1652
-0.195 0.035 1796
-0.1625 0.035 1873
-0.13 0.035 1958
-0.0975 0.035 2001
-0.065 0.035 2007
-0.0325 0.035 1999
0 0.035 1949
0.0325 0.035 1882
0.065 0.035 1788
0.0975 0.035 1641
0.13 0.035 1524
0.1625 0.035 1408
0.195 0.035 1281
0.2275 0.035 1102
0.26 0.035 968
0.2925 0.035 849
0.325 0.035 731
-0.325 0.07 822
-0.2925 0.07 1083
-0.26 0.07 1365
-0.2275 0.07 1549
-0.195 0.07 1703
-0.1625 0.07 1824
-0.13 0.07 1904
-0.0975 0.07 1939
-0.065 0.07 1942
-0.0325 0.07 1927
0 0.07 1868
0.0325 0.07 1760
0.065 0.07 1655
0.0975 0.07 1558
0.13 0.07 1452
0.1625 0.07 1368
0.195 0.07 1246
0.2275 0.07 1119
0.26 0.07 953
0.2925 0.07 804
0.325 0.07 723
-0.325 0.105 764
-0.2925 0.105 999
-0.26 0.105 1286
-0.2275 0.105 1457
-0.195 0.105 1605
-0.1625 0.105 1719
-0.13 0.105 1771
-0.0975 0.105 1775
-0.065 0.105 1711
-0.0325 0.105 1660
0 0.105 1618
0.0325 0.105 1562
0.065 0.105 1488
0.0975 0.105 1379
0.13 0.105 1307
0.1625 0.105 1211
0.195 0.105 1147
0.2275 0.105 1092
0.26 0.105 1013
0.2925 0.105 884
0.325 0.105 791
-0.325 0.14 672
-0.2925 0.14 995
-0.26 0.14 1205
-0.2275 0.14 1295
-0.195 0.14 1308
-0.1625 0.14 1358
-0.13 0.14 1357
-0.0975 0.14 1344
-0.065 0.14 1329
-0.0325 0.14 1317
0 0.14 1309
0.0325 0.14 1295
0.065 0.14 1271
0.0975 0.14 1269
0.13 0.14 1250
0.1625 0.14 1229
0.195 0.14 1196
0.2275 0.14 1155
0.26 0.14 1080
0.2925 0.14 985
0.325 0.14 856
-0.325 0.175 491
-0.2925 0.175 803
-0.26 0.175 869
-0.2275 0.175 789
-0.195 0.175 799
-0.1625 0.175 892
-0.13 0.175 1015
-0.0975 0.175 1052
-0.065 0.175 1102
-0.0325 0.175 1142
0 0.175 1191
0.0325 0.175 1221
0.065 0.175 1241
0.0975 0.175 1247
0.13 0.175 1255
0.1625 0.175 1240
0.195 0.175 1226
0.2275 0.175 1177
0.26 0.175 1105
0.2925 0.175 1022
0.325 0.175 892
