../../Project_WorkCell/Scene.wc.xml
CylinderGreen
x y #collisionFreeSolutions
0.2925 -0.07 2679
0.325 -0.07 2579
-0.325 -0.035 2751
-0.2925 -0.035 2831
-0.26 -0.035 2893
-0.2275 -0.035 2943
-0.195 -0.035 2983
-0.1625 -0.035 3011
-0.13 -0.035 3035
-0.0975 -0.035 3043
-0.065 -0.035 3055
-0.0325 -0.035 3067
0 -0.035 3063
0.0325 -0.035 3068
0.065 -0.035 3055
0.0975 -0.035 3045
0.13 -0.035 3022
0.1625 -0.035 3000
0.195 -0.035 2969
0.2275 -0.035 2929
0.26 -0.035 2877
0.2925 -0.035 2802
0.325 -0.035 2728
-0.325 -1.80411e-16 2843
-0.2925 -1.80411e-16 2905
-0.26 -1.80411e-16 2972
-0.2275 -1.80411e-16 3002
-0.195 -1.80411e-16 3040
-0.1625 -1.80411e-16 3068
-0.13 -1.80411e-16 3085
-0.0975 -1.80411e-16 3104
-0.065 -1.80411e-16 3111
-0.0325 -1.80411e-16 3119
0 -1.80411e-16 3130
0.0325 -1.80411e-16 3124
0.065 -1.80411e-16 3105
0.0975 -1.80411e-16 3102
0.13 -1.80411e-16 3082
0.1625 -1.80411e-16 3058
0.195 -1.80411e-16 3033
0.2275 -1.80411e-16 2982
0.26 -1.80411e-16 2953
0.2925 -1.80411e-16 2888
0.325 -1.80411e-16 2816
-0.325 0.035 2835
-0.2925 0.035 2907
-0.26 0.035 2965
-0.2275 0.035 3009
-0.195 0.035 3034
-0.1625 0.035 3066
-0.13 0.035 3087
-0.0975 0.035 3098
-0.065 0.035 3122
-0.0325 0.035 3127
0 0.035 3132
0.0325 0.035 3133
0.065 0.035 3122
0.0975 0.035 3099
0.13 0.035 3074
0.1625 0.035 3058
0.195 0.035 3021
0.2275 0.035 2990
0.26 0.035 2944
0.2925 0.035 2887
0.325 0.035 2812
-0.325 0.07 2416
-0.2925 0.07 2589
-0.26 0.07 2719
-0.2275 0.07 2815
-0.195 0.07 2902
-0.1625 0.07 2968
-0.13 0.07 3007
-0.0975 0.07 3040
-0.065 0.07 3055
-0.0325 0.07 3060
0 0.07 3062
0.0325 0.07 3057
0.065 0.07 3040
0.0975 0.07 3024
0.13 0.07 2990
0.1625 0.07 2951
0.195 0.07 2883
0.2275 0.07 2792
0.26 0.07 2688
0.2925 0.07 2549
0.325 0.07 2379
-0.325 0.105 1659
-0.2925 0.105 1721
-0.26 0.105 1801
-0.2275 0.105 1904
-0.195 0.105 2004
-0.1625 0.105 2148
-0.13 0.105 2397
-0.0975 0.105 2545
-0.065 0.105 2626
-0.0325 0.105 2667
0 0.105 2686
0.0325 0.105 2667
0.065 0.105 2618
0.0975 0.105 2521
0.13 0.105 2372
0.1625 0.105 2122
0.195 0.105 1973
0.2275 0.105 1875
0.26 0.105 1781
0.2925 0.105 1688
0.325 0.105 1624
-0.325 0.14 1590
-0.2925 0.14 1586
-0.26 0.14 1567
-0.2275 0.14 1557
-0.195 0.14 1593
-0.1625 0.14 1614
-0.13 0.14 1627
-0.0975 0.14 1637
-0.065 0.14 1666
-0.0325 0.14 1720
0 0.14 1839
0.0325 0.14 1721
0.065 0.14 1667
0.0975 0.14 1631
0.13 0.14 1625
0.1625 0.14 1609
0.195 0.14 1579
0.2275 0.14 1551
0.26 0.14 1568
0.2925 0.14 1577
0.325 0.14 1579
-0.325 0.175 1536
-0.2925 0.175 1509
-0.26 0.175 1459
-0.2275 0.175 1400
-0.195 0.175 1318
-0.1625 0.175 1245
-0.13 0.175 1184
-0.0975 0.175 1122
-0.065 0.175 984
-0.0325 0.175 792
0 0.175 721
0.0325 0.175 798
0.065 0.175 987
0.0975 0.175 1123
0.13 0.175 1195
0.1625 0.175 1266
0.195 0.175 1349
0.2275 0.175 1431
0.26 0.175 1479
0.2925 0.175 1515
0.325 0.175 1530
