0 0.249648 -0.109 0.373603
0.1 0.249684 -0.0506997 0.355342
0.2 0.249719 0.00760024 0.337082
0.3 0.249754 0.0659002 0.318822
0.4 0.249789 0.1242 0.300562
0.5 0.249824 0.1825 0.282301
0.6 0.249859 0.2408 0.264041
0.7 0.249895 0.2991 0.245781
0.8 0.24993 0.3574 0.227521
0.9 0.249965 0.4157 0.20926
1 0.25 0.474 0.191
1.1 0.25 0.474 0.191
1.2 0.25 0.474 0.191
1.3 0.25 0.474 0.191
1.4 0.25 0.474 0.191
1.5 0.25 0.474 0.191
1.6 0.25 0.474 0.191
1.7 0.25 0.474 0.191
1.8 0.25 0.474 0.191
1.9 0.25 0.474 0.191
2 0.25 0.474 0.191
2.1 0.25 0.474 0.291
2.2 0.25 0.474 0.391
2.3 0.25 0.474 0.491
2.4 0.25 0.474 0.591
2.5 0.25 0.474 0.691
2.6 0.25 0.474 0.791
2.7 0.25 0.474 0.891
2.8 0.25 0.474 0.991
2.9 0.25 0.474 1.091
3 0.25 0.474 1.191
3.1 0.249965 0.4157 1.10926
3.2 0.24993 0.3574 1.02752
3.3 0.249895 0.2991 0.945781
3.4 0.249859 0.2408 0.864041
3.5 0.249824 0.1825 0.782301
3.6 0.249789 0.1242 0.700562
3.7 0.249754 0.0659002 0.618822
3.8 0.249719 0.00760024 0.537082
3.9 0.249684 -0.0506997 0.455342
4 0.249648 -0.109 0.373603
4.1 0.254684 -0.1481 0.355342
4.2 0.259719 -0.1872 0.337082
4.3 0.264754 -0.2263 0.318822
4.4 0.269789 -0.2654 0.300562
4.5 0.274824 -0.3045 0.282301
4.6 0.279859 -0.3436 0.264041
4.7 0.284895 -0.3827 0.245781
4.8 0.28993 -0.4218 0.227521
4.9 0.294965 -0.4609 0.20926
5 0.3 -0.5 0.191
5.1 0.3 -0.5 0.191
5.2 0.3 -0.5 0.191
5.3 0.3 -0.5 0.191
5.4 0.3 -0.5 0.191
5.5 0.3 -0.5 0.191
5.6 0.3 -0.5 0.191
5.7 0.3 -0.5 0.191
5.8 0.3 -0.5 0.191
5.9 0.3 -0.5 0.191
6 0.3 -0.5 0.191
6.1 0.3 -0.5 0.191
6.2 0.3 -0.5 0.191
6.3 0.3 -0.5 0.191
6.4 0.3 -0.5 0.191
6.5 0.3 -0.5 0.191
6.6 0.3 -0.5 0.191
6.7 0.3 -0.5 0.191
6.8 0.3 -0.5 0.191
6.9 0.3 -0.5 0.191
7 0.3 -0.5 0.191
7.1 0.294965 -0.4609 0.20926
7.2 0.28993 -0.4218 0.227521
7.3 0.284895 -0.3827 0.245781
7.4 0.279859 -0.3436 0.264041
7.5 0.274824 -0.3045 0.282301
7.6 0.269789 -0.2654 0.300562
7.7 0.264754 -0.2263 0.318822
7.8 0.259719 -0.1872 0.337082
7.9 0.254684 -0.1481 0.355342
8 0.249648 -0.109 0.373603
